 دل نے کمزوری دکھا دی۔
اب بھی پڑی ہوئی ہے۔
اب بہتری کی امید ہے۔
اب ترتیب الٹ گئی ہے۔
اب تیونیسیا میں جمہوریت ہے۔
اب حالات یکسر مختلف ہیں۔
اب حقیقت کچھ اور ہے۔
اب دوسرے کیا کریں گے؟
اب رہ کیا گیا ہے؟
اب صورتحال تبدیل ہوچکی ہے۔
اب معاملہ کھل رہا ہے۔
اب منہ چھپائے پھرتے ہیں۔
اب نون لیگ کیا کرے؟
اب وقت گزر چکا ہے۔
اب وہ قدغنیں نہیں ہیں۔
اب وہ پھر نظر آئیں گے۔
اب پتہ نہیں کہاں ہیں۔
اب کالم بھی لکھتے ہیں۔
اب کے حالات مختلف ہیں۔
اب ہو نا یہ چاہیے۔
اب یہ سیاسی بحث ہے۔
اب یہ فیصلہ مشکل ہے۔
ابتدا حکومت سے کرتے ہیں۔
ابتدا میں غزل کہتے تھے۔
ابھی تو محض شروعات ہیں۔
اتنا بڑا جھوٹ بولتا ہے۔
اتنا بڑا مسئلہ بن جائے؟
اتنی صلاحیت ہی نہ تھی۔
اتنی ہی عجیب لگے گی۔
اثر چھوڑ جاتے ہیں۔
اجتماعی ذوق کی کمی ہے۔
اجتماعی رویے درست نہ ہوں۔
احتجاج دراصل وہاں ہوتا ہے۔
احتجاج کوئی متبادل نہیں ہے۔
احتساب حکومت کی روح ہے۔
احتساب مخالفین کا ہو گا۔
احتساب نے کیا ہونا تھا۔
احتساب کے جج بھی تھے۔
احد چیمہ کو ہی لیجئیے۔
احسن اقبال نے کیا کہا؟
اختلاف اس باب میںنہیں ہے۔
اختلاف ایک مثبت قدر ہے۔
اختلاف کا محل دوسرا ہے۔
ادیب کا بیانیہ کیا ہے؟
ارجنٹینا نے قرض لیا تھا۔
ازل سے ایسا ہی ہے۔
اس استدعا کو کیسے جھٹلایا جا سکتا ہے؟
اس بار ایسا نہیں ہے۔
اس بندوبست نے رہنا ہے۔
اس جملے میں کیا تھا؟
اس جملے کی شرح کیجیے۔
اس جمود کو توڑا ہے۔
اس جنگ میں جھونک دیا۔
اس جیسا ادارہ تو غنیمت ہے۔
اس خطے کو بدلنا ہے۔
اس رجحان کو روکنا چاہیے۔
اس سے دل اٹھ گیا۔
اس سے زیادہ کچھ نہیں۔
اس سے زیادہ کی نہیں۔
اس سے زیادہ کیا ہوتے؟
اس سے فاصلے کم ہوں گے۔
اس سے نجات لازم ہے۔
اس سے چمٹے رہتا ہے۔
اس سے کیا ہو گا؟
اس سے گریز لازم ہے۔
اس صورتحال کا کوئی حل نہیں۔
اس فکر میں رہنے کیلئے۔
اس لئے ناکام ہی گزری۔
اس ملک میں اور تو کچھ ہے۔
اس ملک کے نارمل حالات۔
اس میں اپنا حصہ ڈالیں۔
اس میں ایک مسئلہ ہے۔
اس میں برائی کیا ہے؟
اس میں تصادم کہاں ہے؟
اس میں حکمت ہے۔
اس میں سب شامل ہیں۔
اس میں پاکستان کیا کرے؟
اس میں کوئی دورائے نہیں۔
اس میں کوئی شک نہیں۔
اس میں کوئی ندرت ہے؟۔
اس میں کچھ دقت ہے۔
اس میں کیا برائی ہے؟
اس میں کیا حرج ہے؟
اس میں کیا خرابی ہے؟
اس نظام میں رہتے ہیں۔
اس نظام میں کمزوریاں ہیں۔
اس نے بات کرنی ہے۔
اس نے سردی اور حالات کا مقابلہ کیا۔
اس وقت تحصیلدار بڑا عہدہ سمجھا جاتا تھا۔
اس وقت وہاں سڑک تھی۔
اس وقت کے سینئر جرنیل۔
اس وقت یہی مناسب تھا۔
اس پر احتجاج آخر کیوں؟
اس پہ غور ہونا چاہیے۔
اس پہ نظر ہونی چاہیے۔
اس پہ کیا کہا جائے؟
اس کا اندازہ نہ تھا۔
اس کا ایک جواب ہے۔
اس کا ایک خالق ہے۔
اس کا جواب آسان ہے۔
اس کا جواب واضح ہے۔
اس کا حاصل یہ ہے۔
اس کا حل کیا ہے؟
اس کا حل کیا ہے۔
اس کا دوسرا پہلوبھی ہے۔
اس کا راز کیا ہے؟
اس کا سبب کیا ہے؟
اس کا سفارشی کون ہے۔
اس کا قتل کیوں ہوا؟
اس کا مزاج دعوتی ہے۔
اس کا مطلب یہی ہے۔
اس کا مفہوم کیا ہے؟
اس کا نام "ریٹنگ" ہے۔
اس کا نام جمہوریت ہے۔
اس کا پائلٹ پکڑا گیا۔
اس کا کوئی جواز ہے؟
اس کا کیا کیا جائے؟
اس کا ہمیں نہیں پتہ۔
اس کو دہرانا تحصیل حاصل ہے۔
اس کی ایک وجہ ہے۔
اس کی تین وجوہات تھیں۔
اس کی حدود ہوتی ہیں۔
اس کی حیثیت اساسی ہے۔
اس کی دو سطحیں ہیں۔
اس کی دو صورتیں ہیں۔
اس کی مختلف سطحیں ہیں۔
اس کی معراج یہ ہے۔
اس کی وجہ سیاسی ہے۔
اس کی وجہ واضح ہے۔
اس کی کئی جہتیں ہیں۔
اس کی کیا ضرورت تھی؟
اس کی کیا وجہ ہے؟
اس کے احکام کیا ہیں۔
اس کے بعد کیا کریں؟
اس کے بعد کیا ہوا؟
اس کے تین دھڑے ہیں۔
اس کے تیور اور ہیں۔
اس کے حق میں ہے۔
اس کے دو اسباب ہیں۔
اس کے دو جواب ہیں۔
اس کے دو مظاہر ہیں۔
اس کے علاوہ کچھ نہیں۔
اس کے فوری امکانات نہیں۔
اس کے متنوع اسباب ہیں۔
اس کے معانی کیا ہیں؟
اس کے چند اسباب ہیں۔
اس کے کئی ابواب ہیں۔
اس ہنگامے سے کیا امید؟
اسحاق ڈار بھی غائب ہیں۔
اسد عمر تو کارندہ ہے۔
اسلام دل کی بات ہے۔
اسلامائزیشن کا ذکر ہوگا۔
اسلامی جمعیت طلبہ میں تھا۔
اسلامی مملکت میں سوشلزم کیوں؟
اسی سے کچھ سیکھ لیں۔
اسی طرح انتہا پسندی ہے۔
اسی طرح اکثر دیکھتے ہوں۔
اسی پر چل پڑیں گے۔
اسی پہ اکتفا نہ کیا۔
اسی پہ اکتفا کرنا چاہیے۔
اسی کا فہم ضروری ہے۔
اسی کا نام گلوبلائزیشن ہے۔
اسی کو بہت سمجھنا چاہیے۔
اسی کو جمہوریت کہتے ہیں۔
اسی کو فاشزم کہتے ہیں۔
اسے اپنانے کا کبھی سوچا؟
اسے برداشت کرنا پڑتا ہے۔
اسے برداشت کرنا پڑے گا۔
اسے تبدیل کرنا لازم ہے۔
اسے حل کون کرے گا؟
اسے حکومتی موقف سمجھنا چاہیے۔
اسے دوبارہ دیکھا جائے گا۔
اسے دھاندلی کہا جائے گا۔
اسے سیاست کہنا مشکل ہے۔
اسے غنیمت سمجھا جاتا ہے۔
اسے مزید کنفیوز نہ کریں۔
اسے پر کون کرے گا۔
اسے کس نے کھلوایا؟
اسے کہیں اور پہنچنا تھا۔
اسے ہماری خوش قسمتی سمجھیے۔
اصل بات اوپر کی ہے۔
اصل مسئلہ اوپر کا ہے۔
اصل میں حکومت کھوکھلی ہے۔
اصلاح پسندی یا فرقہ پرستی؟
اصولی بات کہہ رہے ہیں۔
افسرشاہی اور پولیس، دونوں آزاد ہیں۔
افغانستان کا معاملہ عجیب ہے۔
اقتدار بھی کیا چیز ہے۔
اقتدار میں کیسے اتراتے تھے۔
اقتدار کی سیاست میں اصول کہاں؟
اقتدار کی سیاست پیچیدہ ہے۔
اقتدار ہمہ وقت عمل ہے۔
اقتصادی راہداری: رحمت یا زحمت؟
اقربا پروری پھیلی ہوئی ہے۔
البتہ سیاست کا شوق تھا۔
البتہ قدم مضبوط رہنے چاہئیں۔
القاعدہ کا ایجنڈا تو تھا۔
اللہ کا دین آفاقی ہے۔
الہامی تہذیب کا جوہر کیا ہے؟
الیکشن کا متبادل کچھ نہیں۔
الیکشن کا میدان سجے گا۔
الیکشن کی آمد آمد ہے۔
الیکشنوں میں تاخیر ہوتی ہے۔
امریکہ میں ایسا نہیں ہے۔
امریکہ کو کہا جاتا ہے۔
امریکہ کی امداد تو تھی۔
ان اندھیروں سے نکلیں گے۔
ان دنوں یہی ہو رہا ہے۔
ان راہوں پہ چل نکلے۔
ان رستوں کو ڈھونڈے گا۔
ان سے تجاوز کیا گیا۔
ان سے جہاد کرنا ہے۔
ان میں ایسے نام تھے۔
ان میں وہ نہ تھی۔
ان میں کشش بھی ہے۔
ان نوجوانوں کو راہنمائی چاہیے۔
ان کا بھی کیا کہنا۔
ان کا خیال آتا ہے۔
ان کا دوسرا مطالبہ تھا۔
ان کا رویہ منطقی ہے۔
ان کا شعبہ قانون تھا۔
ان کا عزم بجا ہے۔
ان کا علاج ہونا چاہیے۔
ان کا قاتل کون ہے؟
ان کا مزاج خراب ہو رہا ہے۔
ان کا مقدر جیل ہے۔
ان کا مقدمہ اخلاقی ہے۔
ان کا کوئی لیول نہیں۔
ان کا کورٹ مارشل ہوتا۔
ان کا کہنا یہ ہے۔
ان کا ہرگز نہ تھا۔
ان کی اصلاح ہو گی۔
ان کی بات سچ نکلی۔
ان کی بڑی عزت بنی۔
ان کی ترجیحات اور ہیں۔
ان کی توقعات جلیل ہیں۔
ان کی ججی برقرار ہے۔
ان کی زبان مقامی ہے۔
ان کی سوچ محدود ہے۔
ان کی قدر کرنی چاہیے۔
ان کی منزل کیا ہے؟
ان کی نظر کمال تھی۔
ان کی نہ سنی گئی۔
ان کی چاندی ہو گئی۔
ان کے حال آسودہ ہیں۔
ان کے خیالات فرسودہ ہیں۔
ان کے سیاسی افکار سیکولر تھے۔
ان کے معاشرے جدید ہیں۔
ان کے والد امام تھے۔
ان کے کارنامے دیکھ کر۔
ان کے کردار اچھے ہوں۔
انبیاء کا معاملہ مختلف ہے۔
انتخاب البتہ حکمران کرتے ہیں۔
انتخابات جیتنا ایک آرٹ ہے۔
انتقام کے سوا کیا ہے۔
انتہاپسندی اسی کا مظہر ہے۔
انذار ایک دینی اصطلاح ہے۔
انسان جائے تو جائے کہاں۔
انسان جو چاہے لباس پہنے۔
انسان مگر آسانی چاہتا ہے۔
انسان میں کمزوریاں ہوتی ہیں۔
انسان کو کتنی دولت چاہیے؟
انصاف کے تقاضے پورے ہوں۔
انقلاب نے کیا آنا تھا۔
انقلاب کی سرزمین روس تھی۔
انڈونیشیا ایک کثیرالمذاہب معاشرہ ہے۔
انگریز البتہ دانا حکمران تھے۔
انگریز راج ، سیکولر راج تھا۔
انگریزی لکھنا آسان کام ہے۔
انگریزی میں کیا کہتے ہیں
انگریزی پڑھنے والے تھوڑے ہیں۔
انہوں نے ایسا کیوں کیا؟
انہوں نے تبدیل نہیں ہونا۔
انہوں نے جو کرنا تھا۔
انہوں نے پوچھا کہ معاملات کیسے ہیں؟۔
انہوں نے کاروبار کرنا ہے۔
انہوں نے کیا کہا تھا؟
انہی دنوں میں ہوجائے گا۔
انہی کو بروئے کار لائے۔
انہی کو سامنے رکھنا چاہیے۔
انہیں اس سے روکنا چاہیے۔
انہیں بات اچھی نہ لگی۔
انہیں باہر نکال دیاجائے۔
انہیں بھی نوٹس آئے ہیں۔
انہیں راہنما مانا جاتا ہے۔
انہیں سمجھا جا سکتا ہے۔
انہیں سیاسی عصبیت حاصل ہے۔
انہیں مدرسوں کی فکر ہے۔
انہیں کتاب سے محبت تھی۔
انہیں ہم اقدار کہتے ہیں۔
انہیں یہ ثابت نہیں کرنا۔
انہیں یہ کام کرنے دیں۔
اور آسمان نے آنکھیں پھیرلی ہیں۔
اور اس کی بڑی طلب ہے۔
اور ان کی بے پناہ دولت۔
اور انہیں بھلا دینا ہی اچھا ہے۔
اور اگر ایسا ہوتا ہے۔
اور جب ہلاکتیں ہوتی ہیں۔
اور جو سیاسی قیمت چکانی تھی۔
اور ذہنی اذیت سے دوچار ہیں۔
اور نام نہیں لو گے۔
اور ورد کر رہے ہیں۔
اور پھر وہی ہو تا ہے۔
اور کیا ثبوت درکار ہے۔
اور کیا ہو سکتا ہے؟
اورآپ اتنے آرام طلب ہیں۔
اوراس کا حشر کیا کیاگیا۔
اورتصویرناطق ہو جا تی ہے۔
اورساتھ ہی اگتے جاتے ہیں؟
اورشاعری بھی عروج پہ تھی۔
اورمیاں نوازشریف سے ہی لڑ بیٹھے۔
اوروں کے مسائل کیا ہوں۔
اوروہ بھی مانگے تانگے کے۔
اُس کا خمیر، مزاج اور سوچ مختلف ہے۔
اِسے عجوبہ نہیں سمجھا جاتا۔
اپنوں کا انداز ناصحانہ ہے۔
اپنی جان کی فکر ہے۔
اپنی قسمت خوب سنوار گئے۔
اپنی کیفیت کو دیکھتا ہوں۔
اپنے قصیدے پڑھنا آسان ہے۔
اپنے لیڈروں کو بھی دیکھیں۔
اپنے لیے شرمندہ کیا ہوں۔
اپنے نام کا مصداق ہے۔
اپنے پیروں پہ کھڑے ہوں۔
اپوزیشن سے محاذ آرائی ہے۔
اکثر کو اقتدار سے دلچسپی تھی۔
اکثریت دوسری صف میں ہے۔
اکڑ کے تو رہتے ہیں۔
اگر ان پر پابندی ہے۔
اگر ثبوت اتنے واضح ہیں۔
اگر جواب اثبات میں ہے۔
اگر حالات خراب بھی ہیں۔
اگر ساون آن پہنچا ہے۔
اگر کوئی نہیں جانتا ہے۔
اگر یہ بات طے ہے۔
اگر یہ درخت رہے گا۔
اگر یہ محض استنباط ہے۔
اگر یہ پاکستانی فوج ہے۔
اگر یہ کھاتہ کھلتا ہے۔
اگر یہ ہندوستانی سوچ ہے۔
اگلا مرحلہ وکالت کا ہے۔
اہل اسلام کا کوئی گروہ؟
اہل دانش کا کام ہے۔
اہل دانش کا کوئی فورم؟
اہل نظر خواب دیکھتے ہیں۔
اہل کشمیرکا وکیل کون ہے؟
ایران سے تو دشمنی ہے۔
ایران کو اور کیا چاہیے۔
ایسا اسی وقت ہوتا ہے۔
ایسا تو ہوتا رہے گا۔
ایسا ممکن نہیں ہو گا۔
ایسا کبھی نہیں ہو گا۔
ایسا کرنا علمی بددیانتی ہے۔
ایسا کچھ نہیں ہونا تھا۔
ایسا ہونا لازم نہ تھا۔
ایسا ہونا مایوس کن ہے۔
ایسی بھی کوئی بات نہیں۔
ایسی سوچ مضحکہ خیز ہے۔
ایسی صورتحال یہاں نہیں ہے۔
ایسی نزاکتیں ہمیں کون سمجھائے؟
ایسے ردعمل کا کیا کیاجائے؟
ایسے معاملات چل نہیں سکتے۔
ایسے میں پاکستان کیا کرے؟
ایسے واقعات کی روک تھا۔
ایشین ٹائیگر ایک محاورہ ہے۔
ایم کیو ایم کیوں بنی؟
ایک امر واقعہ کا بیان؟
ایک اور بھی مسئلہ ہے۔
ایک بات البتہ ثابت ہے۔
ایک بات البتہ واضح ہے۔
ایک بات اور درکار ہے۔
ایک بات تو واضح ہے۔
ایک بات قابل غور ہے۔
ایک بار پھر دھراتے ہیں۔
ایک حیران کن فیصلہ ہوا۔
ایک دوسرا راستہ بھی ہے۔
ایک رجسٹر بھی رکھا تھا۔
ایک سبب تاریخی بھی ہے۔
ایک سطح مشاہدے کی ہے۔
ایک سوال اور بھی ہے۔
ایک سوال میرے ہمراہ تھا۔
ایک سوال پوچھنا بنتا ہے۔
ایک طرف وہ لوگ تھے۔
ایک عالم یا ایک حکمران؟
ایک فرق واضح ہونا چاہیے۔
ایک قانون کی حکمرانی ہے۔
ایک لفظ بولا جاتا ہے۔
ایک مثال عرض کرتا ہوں۔
ایک مردے سے کیسا خوف؟
ایک مسلک کے علماء ہوں۔
ایک نارمل ملک لگتا تھا۔
ایک نقطہ نظر وہ ہے۔
ایک نکتہ ہی لے لیجیے۔
ایک واقعہ اور سناتا چلوں۔
ایک وکٹ یا ایک چوکا؟
ایک وہ معاصر تعبیرات ہیں۔
ایک پرنسٹن کا پروفیسر تھا۔
ایک پسندیدہ متبادل فوج ہے۔
ایک پہلو اور بھی ہے۔
ایک ہندوستان اور دوسرا ہمارا ملک۔
باآسانی جھٹلائے نہیں جا سکتے۔
بائیبل کا اسلوب یہی ہے۔
بات البتہ کچھ اور ہے۔
بات کلچر اور خمیر کی ہے۔
بات یہاں تک پہنچنی تھی۔
باتیں بظاہر معمولی سی ہیں۔
بادشاہ گری بھی سیاست ہے۔
بادل تب ہی چھٹیں گے۔
بارڈر اتنے سخت نہ تھے۔
باقاعدہ سماعت شروع ہونے لگی۔
باقی بھی مسلمان ممالک ہیں۔
باقی بھی گزر جائے گی۔
باقی دنوں میں کیوں نہیں؟
باقی سب باتیں ضمنی ہیں۔
باقی سب جزوی کہانیاں ہیں۔
باقی سب نئے لوگ تھے۔
باقی سب کتابی باتیں ہیں۔
باقی فضول کی باتیں ہیں۔
باقی لوگ آخر کہاں جائیں؟
باقی چیزیں کیوں نہیں ہوتیں؟
باقی گزارہ ریڈیو پہ تھا۔
بالکل بے بس کھڑی تھی۔
بس شام ٹھیک گزر جائے۔
بصورت دیگر یہی ہو گا۔
بظاہر تو وہ ساتھی تھا۔
بقا کا یہی راستہ ہے۔
بلاشبہ یہ ایک بہتان ہے۔
بلاول بھٹو بھی متحرک ہیں۔
بلند پائے کے مقرر تھے۔
بلوچستان کے اپنے حالات ہیں۔
بلکہ اس کا مظہر ہوں۔
بلکہ فروغ دیا جاتا ہے۔
بلکہ ملک دشمن بھی ہیں۔
بلکہ ہماری ذمہ داری بھی۔
بندوبست ان کا مکمل تھا۔
بنگلہ دیش کا رقبہ کم ہے۔
بولنے میں ٹھہراؤ بھی آچکاہے۔
بولنے کا البتہ شوق ہے۔
بوندیں مسلسل گر رہی ہیں۔
بچوں کو سکول کیوں بھیجا؟
بڑی بات جو ہوئی ہے۔
بڑے زورکی بھوک لگی تھی۔
بڑے فیصلے وہیں ہوتے ہیں۔
بگاڑ کو ٹھیک کرنا ہے۔
بگاڑ یکدم پیدا نہیں ہوا۔
بھارت اس کے علاوہ ہے۔
بھارت امریکہ کا کھلاڑی ہے۔
بھارت کو یہ معلوم تھا۔
بھارت کو یہ معلوم ہے۔
بھاری فیس تو لیتے ہو۔
بھٹو صاحب ریاضت کرتے تھے۔
بہت پہلے ہو جانا چاہیے۔
بہت چیزیں بدل چکی ہوں۔
بہت کچھ کرنے کو ہے۔
بہتوں کے مزاج درست ہوئے۔
بہرحال دیر آید درست آید۔
بہرحال کتنا رونا رویا جائے۔
بہرحال ہمارے گاؤں نزدیک ہیں۔
بہرحال یہ الگ کہانی ہے۔
بہرحال یہ ضمنی ایشوز ہیں۔
بہرحال یہ ضمنی بحث ہے۔
بیان کردہ واقعات غلط ہیں۔
بینکوں سے قرضے لیتے رہے۔
بے حسی کی انتہا ہے۔
بے داغ سبزے کی بہار
بے چینی مو جود ہے۔
تاجر مشکلات کا شکار ہوں۔
تاریخ ساز لوگ کم ہوتے ہیں۔
تاریخ کا عجیب موڑ ہے۔
تاویل بدل جاتی ہے۔
تاکہ اس میں چمک آئے۔
تاہم یہ وقت اور ہے۔
تب خاصے بھاری ہو چکے تھے۔
تب میڈیا تو نہیں تھا۔
تب ہم تھانے سے گئے۔
تبلیغی جماعت کے ساتھ ہیں۔
تحریری آئین کیوں ضروری ہے؟
تذبذب فوجی قیادت میں تھا۔
ترجیح یہی ہوتی ہے۔
ترقی پسند سوچ ہماری ہونی چاہیے۔
ترکی بھی مسلمان ملک ہے۔
تزکیۂ نفس آج کیا ہے؟
تشویش ناک بات یہ ہے۔
تصادم بڑھ جا ئے گا۔
تصوف پر گفتگو ہوتی رہتی ہے۔
تصوف ہمارے نزدیک یہ ہے۔
تعصب اسی کا نام ہے۔
تفریح یقینا میری ضرورت ہے۔
تمام قوانین انگریزوں نے لکھے۔
تمام چیزوں پہ پابندیاں ہیں۔
تنخواہ کا کوئی نظام ہے۔
تنقید اس پر ہونی چاہیے۔
تھانہ کلچر کیسے بدلے گا؟
تھوڑا مال اکٹھا کیا ہے۔
تہذیب بھی کبھی مرتی ہے؟
تیسرا راستہ یہاں نہیں ہے۔
تیسرا سبب علاقائی مفادات ہیں۔
تیسرا نظریہ "سیاسی اسلام" ہے۔
تین باتیں توجہ طلب ہیں۔
تین بار وزیر اعظم رہے۔
تین برس تو ہوگئے ہوں۔
ثالثی کی حقیقت کیا تھی؟
ثریا گوجرانوالہ میں پیدا ہوئیں۔
جانشین تو مریم صفدر تھیں۔
جب تاج اچھالے جائیں گے۔
جب ترجیحات درست نہ ہوں۔
جب تک وہ رہتے ہیں۔
جب تک یہ باقی ہیں۔
جب تھوڑے موڈ میں ہوں۔
جب تھیسس نہیں رہے گا۔
جب جمہوریت واپس آئے گی۔
جب ذہن بن جاتا ہے۔
جب روایت بن جاتی ہے۔
جب سے دنیا بنی ہے۔
جب عدالت سزا سناتی ہے۔
جب عرب شہزادے کام آئے۔
جب قومی اسمبلی میں تھا۔
جب مضبوط لوگ سامنے آئیں۔
جب میں آکسفورڈ میں تھا۔
جب میں سیاست میں تھا۔
جب نیلو کا عروج تھا۔
جب وہ بول رہے تھے۔
جب وہ تقریر فرماتے تھے۔
جب وہ قاضی القضاۃ تھی۔
جب وہ گورنر سندھ تھے۔
جب ٹھیک ہو جائیں گے۔
جب پورا دورانیہ ملے گا۔
جب کمیشن بن جائے گا۔
جب ہارون الرشید خلیفہ تھے۔
جب یہ عمل جاری ہے۔
جب یہ مستحکم ہوتی ہے۔
جب یہ مصیبت ٹلے گی۔
جب یہ معروضی صورتحال ہے۔
جب یہ مکمل ہو گا۔
جب یہ ہوجا تا ہے۔
جبھی پسر وارث تیرا ہے۔
جتنا کہ کوئی اور مذہب۔
جس حد تک ممکن تھا۔
جس قسم کے سامعین ہوں۔
جس کا مطلب یہ ہے۔
جسٹس صاحب جانیں یا پنجاب حکومت۔
جماعت اسلامی کا استثنا ہے۔
جمہوریت ایک سماجی رویہ ہے۔
جمہوریت خود ایک انقلاب ہے۔
جمہوریت ذمہ دار میڈیا ہے۔
جمہوریت صرف گڈ گورننس نہیں ہے۔
جمہوریت کا واویلا کافی نہیں۔
جمہوریت کی روح یہی ہے۔
جمہوریت یہی رویہ سکھاتی ہے۔
جن کا ایسا بندوبست ہے۔
جن کی لگی ہوئی ہے۔
جن کی چھٹی ہونی تھی۔
جناب کا میدان کرکٹ ہے۔
جنرل ضیاء الحق آ گئے۔
جنرل ضیاء الحق ہوتے ہیں۔
جنون بہت اعلی قدر ہے۔
جنگ میں وہ کامیاب نہیں۔
جنگ کی اپنی حرکیات ہیں۔
جنہوں نے ٹیکس دیا ہے۔
جنہیں ہم ادارے کہتے ہیں۔
جنہیں ہم کمی کہتے ہیں۔
جو اکثر یاد آتے ہیں۔
جو بھی قانونی ڈھانچہ تھا۔
جو روایتی سوشلسٹ پارٹیاں تھیں۔
جو مجھے محترم بناتا ہے۔
جو مزید بحث کا متقاضی ہے۔
جو چاہے کر سکتے تھے۔
جو چند جاننے والے تھے۔
جو چیزیں مصر میں ہوئیں۔
جو ڈھنڈورچی قریب تر تھے۔
جو کرسی پہ ہوتا ہے۔
جو کسر رہ گئی تھی۔
جو کچھ کر رہے ہیں۔
جو کچھ ہوتا تھا ، سامنے ہوتا تھا۔
جواب ملا: میں جاوید ہوں۔
جواز بھی مذہبی ہونا چاہیے۔
جوان کی طرف داری کریں۔
جوانی کی دہلیز پہ تھے۔
جوایک بیانیے پر مشتمل ہے۔
جوکہ سراسر غلط بیانی ہے۔
جوگہرے غور و فکر کا متقاضی ہے۔
جوں جوں وقت گزرے گا۔
جہاں ایسے مسائل درپیش ہوں۔
جہاں تک اپنا تعلق ہے۔
جہاں جبر ہو تا ہے۔
جہاں زمین کی قلت ہے۔
جہاں زندگی کا سامان میسر ہے۔
جہاں قدم رکھنا ممنوع ہے۔
جہاں وہ خود کفیل ہیں۔
جہاں پہ جلسہ منعقد ہوا۔
جہاں کہیں آزادی ہوتی ہے۔
جیبیں بھی بھاری ہونی چاہئیں۔
جیسا کہ اکثر ہوتا ہے۔
جیسا کہ چینی دوستوں نے کہا۔
جیسا کہ ہم جانتے ہیں۔
جیسے 1977ء میں ہوا تھا۔
جیسے اب ہو رہے ہیں۔
جیسے اوپر ذکر کیا ہے۔
جیسے میرے بچے چاہتے ہیں۔
جیسے وراثت سونپی جاتی ہے۔
جیسے وہ بیان کرتے ہیں۔
حال ماضی سے الگ ہے۔
حالات کو روکا ہوا ہے۔
حالات یہاں تک کیسے پہنچے؟
حالانکہ ایسا کچھ نہ تھا۔
حسین کا نام باقی ہے۔
حقائق اس کے برعکس ہیں۔
حقیقت اس کے برعکس ہے۔
حقیقت بیان نہ کر سکے۔
حقیقت کہیں وسط میں ہے۔
حقیقی مسائل سے گریز ہوتا ہے۔
حل تو نکالنا پڑے گا۔
حمزہ شہباز انگلی ہلائے گا۔
حملہ تو چلو ہو گیا۔
حوثیوں کے پاس کیا ہے؟
حکمران عدل کرنے والے ہوں۔
حکمران کون ہو تا ہے؟
حکومت ٹیکس کیوں مانگتی ہے۔
حکومت کن ہاتھوں میں ہے؟
حکومت کی آمدن بڑھے گی۔
حکومت کی جیب خالی ہے۔
حکومت کی پیچیدگی دوسری ہے۔
حکومت کیا کر سکتی ہے؟
حکومتیں شہروں کی ہوتی ہیں۔
حکومتیں کام کر رہی ہیں۔
خارجہ امور کیسے طے ہوں۔
خارجہ پالیسی کون چلارہا ہے؟
خاموش ہو جائیں گے۔
خان صاحب کہانی نگار ہیں۔
خاندان کا ادارہ فطری ہے۔
خبر ابھی تک نکلی نہیں۔
خبر ہلا دینے والی تھی۔
خدا نہ کرے کہ ایسا ہو۔
خراب موسم ہمیشہ نہیں رہتا۔
خرابی کہاں سے شروع ہوئی؟
خلق خدا تڑپتی اور سسکتی ہے۔
خواجہ صاحب کی رسوائی ہوئی۔
خوب انجوائے کر رہے تھے۔
