! ٭٭٭ گریباں گیر برسوں بعد میں نے اسے شہر کے ایک معمولی ہوٹل میں داخل ہوتے ہوئے دیکھا۔
! کو پوچھا تو کاؤنٹر والی لڑکی نے متعلقہ آفس سے کمپیوٹر مشین (جو ٹائپ رائٹر کی طرح ہوتی ہے۔
!! اک خواب وہی تو تھا جو ٹوٹ گیا آخر پل بھر میں گنوا بیٹھا اک عمر کا حاصل تھا۔
!مارچ ء کے دن مولانا خواجہ حسن نظامی کے ہمراہ نواب صاحب نے پہلی بار علامہ اقبال سے ملاقات فرمائی۔
" (متفق علیہ) امام نووی نے لکھا: یہ حدیث اللہ تعالی کے اسمائے حسنی کی تحدید کے لئے نہیں ہے۔
" (مسلم ) تشریح سقاہ الخادم او امر بہ میں حرف او (یا ) اظہار شک کے لئے نہیں ہے۔
" (مسلم ) تشریح: مطلب یہ ہے کہ اسلام کے جو مجاہد کفار سے جنگ کرنے کے لئے نکلیں گے۔
" (مسلم، ترمذی، نسائی، ابو داؤد) سائل: نبی صلی اللہ علیہ والہ وسلم سے ان روایتوں میں اختلاف کیوں ہے؟
" (مسلم، نسائی، ابن ماجہ، مالک) نوٹ: اللہ تعالی نے انسان کو خبیث اور طیب اشیاء کا شعور دیا ہے۔
" (مسلم، نسائی، ابو داؤد، ترمذی) اللہ تعالی نے اپنی کتاب میں عربوں سے انہی کی زبان میں خطاب فرمایا۔
" (مسلمانوں کی تعلیم) اس جملے میں یہ ظاہر تین ٹکڑے ہیں، ایک چھوٹا ٹکڑا اور دو بڑے ٹکڑے۔
" (ٹرینس سے پرے) "کیوں کہ موت اسے لوٹ چکی ہے، زندگی ایک بار اس کے ہاتھوں چھوٹ چکی ہے۔
" (پچھتاوا) "محل حرص رفعت کی طرح غرور سے سر اٹھائے ہوئے جھیل گوشۂ قناعت کی طرح متین اور پرسکون۔
" (ہود، رکوع ، آیت:) گویا جب آپ کے پاس اپنی بات منوانے کے لیے نہ مادی طاقت ساتھ ہے۔
" (ہولی کی چھٹی) "ایک دن سیٹھ جی بہ نفس نفیس وارد ہوئے اور سانڈ کی طرح ڈکارتے ہوئے بولے۔
" (یوسف 12:104) "اب تمھارے پاس اللہ کی طرف سے ایک روشنی اور ایک واضح کرنے والی کتاب آ گئی۔
" (یہ سن کر) آپ صلی اللہ علیہ وسلم نے فرمایا کہ " اچھامیرے لیے لگن (طشت) میں پانی رکھو۔
" *** ہنسئے مت، سچ تو یہ ہے کہ ادھر صرف بلند و بالا عمارتوں کا جنگل رہ گیا تھا۔
" . بھوش وانی میں جب بھی اس طرف سے گزرتا جیوتش کو ہمیشہ ہی آدمیوں کے بیچ گھرا پاتا۔
" 755ء میں عیسی کا انتقال ہو گیا اور سارہ ایک بار پھر بے یار و مدد گار رہ گئی۔
" : یعنی ایسے انعامات عظیمہ کے بعد ناشکری کرنا بہت ہی بڑے نافرمان اور ہیکڑ مجرم کا کام ہے۔
" : یعنی ہمیشہ سے یوں ہی ہوتا رہا ہے کہ لوگ اول انکار و استہزاء سے پیش آتے ہیں۔
" [19] "قرۃالعین کا اصل نام فاطمہ زرین تاج ہے، مگر دنیا اسے قرۃ العین کے نام سے جانتی ہے۔
" [27] یہ اقتباس درج کرنے کا مقصد یہ ہے کہ اس شعر کا تخلیقی پس منظر واضح ہو سکے۔
" ___انکیوبیٹر "لینڈ اسکیپ کے گھوڑے، لکھتے ہوئے بھی میں انکیوبیٹر یا آرٹ کی خوبصورتی سے باہر نہیں نکل پایا۔
" ___فریج میں عورت میں اس کہانی کے اختتام کے لئے بھی ذمہ دار نربھے چودھری کو ہی مانتا ہوں۔
" ؎ تاریخ عالم پر محکم گرفت مولانا گیلانی ایک عالم دین اور فلسفی تھے، معلم و مدرس تھے۔
" ؎ زبان و ادب مولانا گیلانی کے علاقہ بہار کا شمار ہندستان کے ان علاقوں میں ہوتا ہے۔
" آج ارشد ملک کا مسودہ میرے سامنے ہے اور عدیم ہاشمی کے الفاظ میرے ذہن میں گونج رہے ہیں۔
" آج میں تم سے یہ پوچھنا چاہتی ہوں کہ کیا تمہاری یہ حالت کسی لڑکی کی وجہ سے ہے؟
" آج کل انور اور کہکشاں کی چھٹیاّں تھیں مگر خاور اب تک اسکول میں داخل نہیں کیا گیا تھا۔
" آخر کار سارے لوگ قاری صاحب سے متفق ہو گئے کیونکہ ان کی بات میں کا فی وزن تھا۔
" آشا:کیوں، بڑھیا تمہیں جوان سے زیادہ پیار کرے گی، زیادہ خدمت کرے گی، تمھیں سیدھے راستے پر رکھے گی۔
" آنحضرت صلی اللہ علیہ وسلم جہاد کے سفر میں جمعرات ہی کے دن روانہ ہونا کیوں پسند کرتے تھے؟
" آنکھوں میں نئے نئے آنسو بھر آنے سے اس کی ناک بند سی ہو گئی تو آواز بھیگ گئی۔
" آنے والی بہت نزدیک آ پہونچی، اللہ کے علاوہ کوئی نہیں ہے جو اس کے آنے کو کھول سکے۔
" آپ بھی اس سے واقف ہوں گے کہ عمران کا ایک ناول اسی نام سے مارکیٹ میں آیا تھا۔
" آپ صلی اللہ علیہ و سلم نے فرمایا " پھر تو میں تمہیں دو باتوں کا حکم کرتا ہوں۔
" آپ صلی اللہ علیہ وسلم نے فرمایا " (اچھا یہ بتا ) یہ جو کچھ تو نے کہا ہے۔
" آپ صلی اللہ علیہ وسلم نے فرمایا " ہاں ! (ہر نعمت کے بارے میں سوال کیا جائے گا۔
" آپ نے فرمایا، "اس سے زیادہ کوئی صدقہ افضل نہیں ہے کہ کوئی اپنے برے غلاموں پر خرچ کرے۔
" آپ نے فرمایا، "میں آپ کی کتابت کی پوری رقم ادا کر دوں اور آپ سے شادی کر لوں؟
" آپ ڈاکٹر ہاشمی اور صفیہ کو لے کر نور پور میں بابا شاہ مقیم کے مزار پر پہنچ جائیں۔
" آپ کا سا ڈل آدمی میں نے شاید ہی دیکھا ہو، دیکھو ! لوگ باتیں بھی کر رہے ہیں۔
" آپﷺ نے فرمایا :" ہوشیار ہو ! اس نے تم سے جھوٹ بولا ہے اور وہ پھر آئے گا۔
" آگ کے فتنہ " سے مراد وہ چیزیں ہیں جو آگ اور قبر کے عذاب کا باعث بنتی ہیں۔
" آگے چل کر جعفری کہتے ہیں، " 1954 میں لوئی اترا گوں اور سارتر کے تعلقات خاصے خراب تھے۔
" آہستہ سے طاہر نے کہا تو آدیش کے ایک دم اتر جانے والے چہرے پر زردی گہری ہو گئی۔
" اب اس کے لیے صرف ایک ہی راستہ تھا کہ پیدل چلے اور سڑک پر چلتا رہا، چلتا رہا۔
" اب ان لوگوں کی توجہ دوسری طرف منعطف ہو چکی تھی اور وقت ہاتھ سے نکلا جا رہا تھا۔
" اب باتیں تو بہت ہو رہی ہیں لیکن اس وقت تم لوگوں پر بزدلی کیوں طاری ہو گئی تھی۔
" اب پلٹ کر کتاب کے پہلے صفحہ کا افتتاحی فقرہ دیکھیے : "پریم چند ایک بڑے افسانہ نگار ہیں۔
" اب کے اختر بولا "ہم چاند دیکھ رہے ہیں تو کیا اماں بھی چاند کو دیکھ رہی ہو گی؟
" اب یہ بے کار کی باتیں چھوڑو اور کھانا کھالو، پتہ نہیں دوپہر میں کب کھانا کھایا ہو گا؟
" ابا ! اب آپ کو دن بھر دھوپ آگ میں کھیتوں میں کام کرنے کی کوئی ضرورت نہیں ہے۔
" ابا جان نے درخت کی طرف ایک نئی دلچسپی سے دیکھتے ہوئے مگر بے پروائی کے انداز میں کہا۔
" ابا کی آنکھوں کے آگے اندھیرا چھا گیا تھا-------- انسپکٹر غور سے ابّا کی آنکھوں میں جھانک رہا تھا۔
" اباّ میاں کے ذہن پر 'زمیںدار' اخبار کی کئی سرخیاں دھول اڑاتی تیز رفتار بگھیّوں کی طرح گزر گئیں۔
" ابن صیاد کے قصہ کا بیان کیا آنحضرت صلی اللہ علیہ وسلم بھی ابن صیاد کو دجال سمجھتے تھے؟
" ابو ایوب کہتے ہیں، "ہم لوگ شام گئے، وہاں ہم نے بیت الخلا کو قبلہ رو بنا ہوا پایا۔
" ابو سعیدؓ کہتے ہیں کہ عمار کہا کرتے تھے کہ " میں فتنوں سے اللہ کی پناہ مانگتا ہوں۔
" ابو مولانا مودودی کا احترام کرتے تھے مگر وہ بطور سیاست دان ذوالفقار علی بھٹو کو پسند کرتے تھے۔
" اتفاق سے اسی زمانے میں پرویز کو اس کے بیٹھے ہلاک کر دیا اور معاملہ یہیں تک رہ گیا۔
" اتنا کہہ کر اس نے بیلوں کی رسّیاں نواب کے ہاتھوں سے چھین کر اپنے ہاتھوں میں لے لیں۔
" اتنا کہہ کر انھوں نے تھیلی نواب کے ہاتھ سے لے لی اور اپنی بیوی کے حوالے کر دی۔
" اتنا کہہ کر وہ پھر سسک پڑی اور پہلے ہی کی طرح دوڑتی ہوئی اپنے گاؤں کی راہ ہولی۔
" اتنی رات گئے میں تمھیں تکلیف نہ دیتا اگر مجھے صبح کی ٹرین سے وجے واڑہ جانا نہ ہوتا۔
" اداسی سے کہکشاں نے پتے ّ پھر سمیٹ دیۓ اور چپ چاپ بڑے کمرے کی الماری پر رکھ آئی۔
" ادھر جب وہ آفس میں داخل ہوا تو بلاوے کی غرض و غائت کا اسے علم ہو چکا تھا۔
" اری نوج ماری شرما کیا رہی ہے، یہ بات دھیان میں رکھ لے ورنہ پھر بعد میں پچھتاوے گی"۔
" ارے اقبال سیٹھ ! یہ گاؤں دھنیہ ہو گیا جو آپ نے اس گاؤں میں اپنا کھیت لے لیا۔
" ارے رگھوویر ! کون ارے شندے صاحب ! "رگھوویر انھیں دیکھ کر حیرت میں پڑ گیا۔
" اس "نہیں "میں شوخی بھی ہوتی اور مسکراہٹ بھی! ایک کلی چٹختی اور وہ اسے بری طرح گدگدا دیتا۔
" اس آیت میں "ساق" کے مقابلے میں "مساق" میں ایک حرف " میم " " شروع میں زائد ہے۔
" اس اصول کے تحت استحصال کا شکار ہونے والے ملازمین کو اپنی جدوجہد کا آغاز خود کرنا پڑے گا۔
" اس اقتباس میں رازؔ نے کسر نفسی سے کام لیتے ہوئے اپنی شاعری کی عمر چالیس سال بتائی ہے۔
" اس امر کا ذکر یہاں بیجا نہ ہوگا کہ لسانیات جو زبان کے سائنسی مطالعے کا نام ہے۔
" اس بار چونک کر میں نے اس کی طرف دیکھا تھا-------- تمہارے کہنے کا مطلب کہیں یہ تو نہیں۔
" اس جملہ کے سلسلہ میں واضح رہے کہ تمام ہی انبیاء معصوم عن الخطا یعنی گناہوں سے محفوظ ہیں۔
" اس روایت کو احمد ترمذی نے نقل کیا ہے اور کہا ہے کہ یہ حدیث حسن صحیح غریب ہے۔
" اس سے واضح ہوتا ہے کہ آپ صلی اللہ علیہ وسلم کو دوسری مرتبہ خواب میں جماعت دکھائی دی۔
" اس سے یہ بات بھی ثابت ہوتی ہے کہ تمام زبانوں کے رسوم الخط کی اصل ایک ہی ہے۔
" اس سے یہ معلوم ہوتا ہے کہ وراثت سے متعلق اللہ تعالی نے جو احکام بیان فرما دیے ہیں۔
" اس صورتحال میں آپ کا کوئی بھی اقدام اپنی حفاظت اور مجھ پر بد گمانی کے لئے جائز ہے۔
" اس طریقے سے وہ قرض کو موخر کر دے اور سود کے ذریعے اپنے مال میں اضافہ کر لے۔
" اس لئے بھلے جان چلی جائے، عزت بچانے کے لئے اس اوور کو مکمل کرنا بے حد ضروری تھا۔
" اس میں کوئی شک نہیں کہ دوزخی میں عصمت کے افسانوی فن کی تمام خوبیاں یکجا ہو گئی ہیں۔
" اس نے اسٹک تپائی پر ڈالی اور قالین پر اکڑوں بیٹھ کر طاہر کے پاؤں سے کھسہ اتارنے لگی۔
" اس نے اپنی انگلی اس کھڑکی کی طرف اٹھائی جسے وہ چند لمحہ پہلے ٹکٹکی باندھے دیکھ رہا تھا۔
" اس نے اپنی مٹھیاں کھول کر دیکھیں، خالی تھیں اور آنکھوں کے بیچ یہاں وہاں کچھ بھی نہ تھا۔
" اس نے اپنے بال جھٹکے سے چہرے سے ہٹائے اور اس کی حیران حیران آنکھوں میں جھانک کر کہا۔
" اس نے ایک لفظ بھی نہیں کہا تھا، مگر وہ جو دیکھ رہا تھا، سب کچھ سمجھ گیا تھا۔
" اس نے ایک لمحہ رکنے کے بعد کہا : کل شام کی ٹرین سے میں بمبئی جا رہا ہوں۔
" اس نے بے چینی کے عالم میں اپنے ہاتھ رانوں تلے دبا لئے اور سر جھکا کر بلک پڑی۔
" اس نے سامعین کی طرف مڑتے ہوئے کہا "لیکن اس وقت ہم مقدس اور پاکیزہ باتیں کر رہے ہیں۔
" اس نے مسکراتے ہوئے طنز آمیز لہجے میں یوں کہا جیسے وہ اپنے خالق سے گلہ کر رہا ہو۔
" اس نے میری بیگم کی طرف منھ کر کے کہا اور فیصلہ دے دیا: "یہ میرے ساتھ رہے گی۔
" اس نے میز پر رکھے خط کو حیرانی سے اٹھاتے ہوئے کہا " یہ خط یہاں کیسے آ گیا۔
" اس نے چونک کر میری طرف دیکھا، ہاتھ اٹھا کر اشارے سے کچھ کہا جس کا شاید مطلب تھا۔
" اس نے کہا کہ " ہاں ! آپ صلی اللہ علیہ وسلم نے پوچھا جانتے ہو زنا کیا ہے۔
" اس نے کہا کہ نہیں ! سوائے اس کے کہ میں اللہ اور اس کے رسولﷺ سے محبت رکھتا ہوں۔
" اس وقت جون 1956ء کا شمارہ پیش نظر ہے جس کے سرورق پر جلد 11 نمبر 6 درج ہے۔
" اس پر امام اعظمؒ نے فرمایا کہ " جو شخص اس سے نبوت کی کوئی علامت طلب کرے گا۔
" اس پہلوان نے میری کار خراب کی اور اب اس کے بنوانے کے پیسے بھی نہیں دے رہا ہے۔
" اس کا لہجہ ڈرا ڈرا تھا-------- "تم نے اس کے ساتھ کوئی بدتمیزی کرنے کی کوشش تو نہیں کی؟
" اس کی آنکھوں سے آنسوں کے چند موٹے موٹے قطرے گر کر زمین کی خشکی میں جذب ہو گئے۔
" اس کی آنکھوں کے گوشوں میں آنسوؤں کے قطرے اچانک نمودار ہوئے اور میں دل مسوس کر رہ گیا۔
" اس کی ان باتوں کو سن کر میرے دل میں اسے جو پانچ دس روپے دینے کی خواہش تھی۔
" اس کی بات سن کر کلیرس ہنس پڑتی اور ہاتھ پکڑے اسے سڑک کے اس پار لے جاتی ہے۔
" اس کی بات سنتے ہی رینو کو ایک جھٹکا سا لگا اور وہ خوفزدہ نظروں سے اسے دیکھنے لگی۔
" اس کے بدن کی بے کراں موجیں، اس کے بدن کے ساحل سے ٹکرا ٹکرا کر لوٹ رہی تھیں۔
" اس کے بعد اس نے ہوشیاری کی تو میری طرف سے اس کی اور دو چار ہڈیاں توڑ دینا۔
" اس کے بعد ان لوگوں نے سرگوشی میں بھی ایک دوسرے سے باتیں کرنے کی کوشش نہیں کی تھی۔
" اس کے بعد رسول اللہﷺ نے ( مجھے درازی عمر کی دعا دی یعنی )فرمایا: پرانا کرو اور پھاڑو۔
" اس کے بعد یہ دوسری آیت پڑھی: وما کان لبشر ان یّکلّمہ اللہ الّا وحیا او من وّراء حجاب۔
" اس کے منھ میں خود اپنے لہو کا ذائقہ ہے، سوچتا ہے کہ جس کرپان سے وہ لہولہان ہے۔
" اس کے ہر بار کہے ہوئے یہ الفاظ کرنل رائے کے غصے اور دیوانگی میں مزید اضافہ کر دیتی۔
" اس یدھ سے فائدہ اٹھانے کے لیے امریکہ کے شیئر بازاروں میں بڑی چہل پہل نظر آ رہی ہے۔
" اسلم اور کچھ بچے ایک موٹے اور ایک دبلے آدمی کے ساتھ نذرانہ کے پاس سے گزر رہے تھے۔
" اسلم کچھ سمجھ نہ پایا اور زینت عرف زونی ان چار بوڑھی لڑکیوں میں جا پہنچی اور کھل اٹھی۔
" اسی خط کے تناظر میں میرا ایک اور خط گلبن لکھنؤ کے شمارہ جنوری تا اپریلء میں شائع ہوا۔
" اسی محبت کے باعث ان کے غلام آزاد ہونے کے بعد بھی انہی کے ساتھ رہنا پسند کرتے تھے۔
" اسی وقت وہ سانپ بھی آ گیا کہ جس نے گوتمی کے لڑکے کو کاٹ کر مار ڈالا تھا۔
" اشعار کی آمد اس طرح ہے کہ جھرنوں اور آبشاروں سے جس طرح پانی خوبصورتی کے ساتھ ڈھلتا ہے۔
" اشفاق بدایوں سے کب لوٹ رہا ہے، کہیں ایسا تو نہیں کہ وہ اپنے وعدہ سے پھر گیا ہے۔
" افشیں نے چوتھی بار فرح کو ایک ہی راستے پر گاڑی بڑھاتے دیکھ کر بے زاری سے استفسار کیا۔
" افعال حج کا بیان دوسرے کی طرف سے حج کرنے سے پہلے کیا اپنا حج کئے ہونا ضروری ہے؟
" التوبۃ، 9 : 31 (3) مظاہر فطرت کو معبود جاننا "من دون اللّہ" کے ذیل میں شمار ہو گا۔
