,      . بہت وسیع موضوع ہے اور میں محنت سے بھاگنے والا۔
یعنی الفاظ کے باہمی رشتے اور معنیاتی سلسلے محاورات کو اور عام زبان کے ساتھ ان کے رشتوں کو سمجھنے میں یہ صورت حال بہت مدد دیتی ہے۔
’’میں تحریر و تصنیف کے جملہ آداب سے واقف ہوں، میرے قلم سے بے ادبی شاذ و نادر ہی ہو سکتی ہے، میں فحش نگار نہیں افسانہ نگار ہوں۔
17 کیا وہ خالق جو (اتنا کچھ) پیدا فرمائے اس کے مثل ہو سکتا ہے جو (کچھ بھی) پیدا نہ کر سکے، کیا تم لوگ نصیحت قبول نہیں کرتے 18۔
اور اس کے دونوں گالوں پر وہ گرم اور نم آلود بوسے اور دن میں کتنی کتنی مرتبہ اس کے منہ سے شراب کی تیز بدبو تو ضرور آتی تھی۔
اوروہی (اللہ) ہے جس نے رات اور دن کو پیدا کیا اور سورج اور چاند کو (بھی)، تمام (آسمانی کرّے) اپنے اپنے مدار کے اندر تیزی سے تیرتے چلے جاتے ہیں۔
جذبوں سے بھری ہوئی رنگ پچکاری جیسی، دہشت سے نکلی ہوئی چیخ جیسی اور حیرت کے اس لمحے کی طرح جو عین صلیب پر اترے اور زندگی کا جوہر کشید کرے۔
سورۃ الْإسْراء / بنی إسْرآئیل سورت : مکی ترتیب تلاوت : 17 ترتیب نزولی : 50 رکوع : 12 آیات : 111 پارہ نمبر : 15 بسم اللہ الرحمن الرّحیم 1۔
شکیل الرحمن نے پریم چند کی کہانیوں کی روشنی میں بچوں کی نفسیات، حالات کا نفسیاتی رد عمل، اس کے اثرات اور حسی تصورات کے حوالے سے اچھی بحث کی ہے۔
قرآنی اصطلاح "رتق" کی سائنسی تفسیر ہمیں اس بات سے آگاہ کرتی ہے کہ بے پناہ توانائی نے کائنات کو اس وقت ’ابتدائی کمیتی اکائی‘ کی صورت میں باندھ رکھا تھا۔
قیلولہ دوپہر کے سونے کو کہتے ہیں، حاصل یہ ہے کہ وہ آگ شب و روز ان کے ساتھ رہے گی اور کسی بھی وقت ان سے جدا نہیں ہو گی۔
مصوّر : یہ نظم پانچ بندوں پر مشتمل ہے اور ہر بند آٹھ مصرعوں سے تشکیل دیا گیا ہے، مگر ان مصرعوں کی ترتیب سے بند کی ہیئت بدل گئی ہے۔
پر فتاوی اور شرعی فیصلہ جات کے ’فتاوی قاضی خان‘، ’فتاوی بزازیہ‘، ’فتاوی ابن تیمیہ‘، ’فتاوی امام نووی‘، ’فتاوی امام سبکی‘ اور ’فتاوی الہندیہ‘ جیسے مجموعات مرتب ہوئے۔
یوں نہ دیکھیں مجھے ترحّم سے اور کوئی عذاب دے دیجئے . طارقؔ تو یہی کہہ کے مشیت کا بھرم رکھ اچھا چلو قسمت میں مری غم ہیں تو ہوں گے۔
یہ واعظ خوش کلام، اللہ اللہ شرمندۂ ذوق عام، اللہ اللہ افسانہ تراش اور حق گو، توبہ! دیں اس کو بھی جام، اللہ اللہ لاریب کہ رہنمائے دوراں تو ہے۔
! (بخاری ) تشریح میرک رضی اللہ عنہ کہتے ہیں کہ ابن ماجہ اور احمد نے اپنی روایت میں "" رنگین"" کے ساتھ مہندی اور وسمہ کے الفاظ بھی نقل کئے ہیں۔
! آمد و خرچ کا حساب ان کا محبوب مشغلہ بھی ہے اور ہائی اسکول میں ریاضی میں امتیاز کے ساتھ کامیابی یعنی کا وہ پورا فائدہ ابھی تک اٹھاتے ہیں۔
! اب رہا کائنات کی جانب سے انسان کے مامون و مصؤن رہنے کی صورت تو وہ صرف انسان اور کائنات کی حرکت میں باہمی مطابقت اور یک جہتی پر موقوف ہے۔
! اور اگر کسی نے اپنے باپ یا اپنے دادا کو اور یا اپنی ماں کو ذبح کرنے کی نذر مانی تو تمام علماء کے نزدیک اس کی نذر لغو ہو گی۔
! اگر اللہ تعالی کی راہ میں جہاد، حج اور اپنی والدہ کے ساتھ نیکی کرنے کا مسئلہ نہ ہوتا تو میں غلام ہونے کی حالت میں فوت ہونے کو پسند کرتا۔
! تو جا اور جنت میں داخل ہو، وہاں تیرے لئے دنیا ( کی مسافت ) کے بقدر اور اس سے دس گنی مزید جگہ تیرے لئے ( مخصوص کر دی گی۔
! رشتۂ در گردنم افگندہ دوست مہ برد ہر جا کہ خاطرخواہ اوست چلو! اتنی دیر میں‌اورسب حوریں بھی آ گئیں اور زمرد حسین کو ساتھ لیے قصر دری کے باہر نکلی۔
! ساتوں سمندر اسی وجود میں ہیں، اور تمام ستارے اسی جگہ چمک دمک رہے ہیں، ان ستاروں کی کوئی تعداد بتا نہیں سکتا، لاتعداد انگنت ستاروں کی روشنی پھیلی ہوئی ہے۔
! شبانہ کو لگتا ہے کہ اس سے گلے ملنے والا یہ بوڑھا شاید سٹیا گیا ہے، وہ حیرت سے لوگوں کو دیکھتے ہوئے مسکرا کر کہتی ہے: شکریہ دادا جی شکریہ۔
! نہ جانے کیوں جولیا سچ مچ اس کے لئے مغموم ہو گئی تھی! ﴿﴾ ﴿﴾ ﴿﴾ جوزف بس چلتا ہی رہا! اسے احساس نہیں تھا کہ وہ کتنا چل چکا ہے۔
! وہ شخص ( انتہائی تحیر واستعجاب کے عالم میں ) کہے گا کہ ( پروردگار !) کیا آپ مجھ سے مذاق کررہے ہیں یا یہ کہے گا کہ آپ مجھ سے۔
! ٭٭٭ زندگی کا تسلسل (پانچوں بچے) میں نے اپنی دیانت کی سب دولتیں اپنی اولاد کو دیں فقط اور باقی عزیزوں کو صرف اور صرف اپنے حصے کا گھر لکھ دیا۔
! پھر جولیا نے دیکھا کہ وہ کار میں بیٹھ کر اسے اسٹارٹ کرنے کی کوشش کر رہا ہے! تھوڑی ہی دیر بعد وہ انجن کھولے اس پر جھکا ہوا نظر آیا۔
!! اعتبار کیا ! میں بچے کے آنسوؤں کی طرح ہو گئی اور ابھی تک آنکھوں کی طرح ہوں اور ابھی تک مسلمان ہوں! زندگی کی چھاؤں میں کوئی سورج نہیں ہے۔
!! پروفیسر بشیر احمد سوز قلم قبیلے کے سارے لوگو قلم اٹھؤ کہ ایک لمحہ زمیں کے سینے کو چاک کرنے وجود ہستی کو خاک کرنے فلک سے نیچے اتر گیا ہے۔
!مقصد یہ تھا کہ ان باتوں کی بشارت تمام صحابہ سن لیں اور اس ضمن میں ان دونوں شکایت کنندہ کو جواب بھی حاصل ہو جائے جس سے ان کو تسلی ہو۔
"        ." پھر رافی اسٹیئرنگ پر ایک بازو رکھ کر رابرٹ ٹائیلر کے انداز سے کہتا تھا۔
" اور حضرت ابن عباس نبی کریم صلی اللہ علیہ وسلم سے روایت کرتے ہیں کہ آپ صلی اللہ علیہ وسلم نے فرمایا "" جو شخص جنگلی (دیہات ) میں رہتا ہے۔
" اور حضرت ابن عمر رضی اللہ تعالی عنہ کہتے ہیں" جب جنتی جنت میں اور دوزخی دوزخ میں ( اپنی اپنی جگہ ) جالیں گے تو موت کو لایا جائے گا۔
" اور حضرت ابن عمر کہتے ہیں کہ رسول کریم صلی اللہ علیہ وسلم نے فرمایا : ان لوگوں کا سب سے پہلا شخص میں ہونگا جو زمین سے برآمد ہوں گے۔
" اور حضرت ابوموسی نبی کریم صلی اللہ علیہ وسلم سے نقل کرتے ہیں کہ آپ صلی اللہ علیہ وسلم نے فرمایا کبیرہ گناہ کہ جن سے اللہ نے منع فرمایا ہے۔
" اور حضرت ابوہریرہ راوی ہیں کہ سرکار دو عالم صلی اللہ علیہ وسلم نے ارشاد فرمایا! ولادت کے وقت بچہ اس لیے چلاتا ہے کہ شیطان اس کو کچوکے لگاتا ہے۔
" اور حضرت انس رضی اللہ تعالی عنہ فرماتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم (جب نماز شروع کرتے تو پہلے) اپنے دائیں طرف (متوجہ ہو کر) فرمایا کرتے تھے۔
" اور حضرت براء بن عازب کہتے ہیں کہ ایک دن میرے ماموں حضرت ابوبردہ بن نیار میرے پاس سے اس حال میں گزرے کہ ان کے ہاتھ میں ایک نشان تھا۔
" اور حضرت جابر رضی اللہ عنہ کہتے ہیں کہ رسول اکرم صلی اللہ علیہ وسلم نے اس کوٹھے پر سونے سے منع فرمایا ہے جس پر پردہ کی دیوار نہ ہو۔
" اور حضرت عبداللہ بن بسر رضی اللہ عنہ کہتے ہیں کہ جب رسول کریم صلی اللہ علیہ وسلم کے ہاں ایک کٹھڑا (چوبی ناند) تھا جس کو چار آدمی اٹھاتے تھے۔
" اور حضرت نافع صفیہ بنت ابوعبید کی ایک آزاد کی ہوئی لونڈی سے روایت کرتے ہیں کہ صفیہ نے اپنی ہر اس چیز کے عوض جو ان کے پاس موجود تھی۔
" اور فرمایا کہ: "جس نے اسلام کے اندر کوئی بدعت نکالی اور اس کو اچھا سمجھا تو اس نے یہ گمان کیا کہ محمدؐ نے رسالت کے پہنچانے میں خیانت کی ہے۔
" اگر یہودی اور عیسائی حضرات کے اپنے مذہبی لٹریچر، خاص طور پر ان کے اولیاء کرام () کے حالات زندگی کا مطالعہ کیا جائے تو بعینہ یہی تصویر سامنے آتی ہے۔
" ایشر سنگھ نے کچھ کہنا چاہا، مگر کلونت کور نے اس کی اجازت نہ دی، " قسم کھانے سے پہلے سوچ لے کہ میں بھی سردار نہال سنگھ کی بیٹی ہوں۔
" ایمان کا بیان ایمان کی لذت """ اور حضرت انس راوی ہیں کہ رسول اللہ صلی اللہ علیہ وسلم نے ارشاد فرمایا "" جس آدمی میں یہ تین چیزیں ہوں گی۔
" ایمان کا بیان تقدیر پر ایمان لانے کا بیان """ اور حضرت عبداللہ ابن مسعود رضی اللہ عنہ راوی ہیں کہ سرکار دو عالم صلی اللہ علیہ وسلم نے ارشاد فرمایا۔
" ایک موقع پر ایک شخص نے کئی بار حضرت عمر رضی اللہ تعالی عنہ کو مخاطب کر کے کہا کہ اتق اللہ یا عمر یعنی " اے عمر خدا سے ڈر۔
" بعد کے ادوار میں غلاموں کی آزادی کی تحریک کے اثرات غلاموں کی آزادی کی تحریک کے اثرات اس دور سے لے کر آج تک ہر دور میں برقرار رہے ہیں۔
" بعض سلف کا قول ہے کہ "گو کوئی تجھ سے تیرے بارے میں اللہ کی نافرمانی کرے لیکن تجھے چاہئے کہ تو اس کے بارے میں اللہ کی فرمانبرداری ہی کرے۔
" بیگم صاحبہ نے اس کے ہاتھوں پر اپنے ہاتھ رکھ دیے اور ہولے ہولے یوں تھپکنے لگیں جیسے اس کی محرومیوں کو، اس کی ناکامیوں کوگہری نیند سلا دینا چاہتی ہوں۔
" تم مولانا حسین ہو! تمھارا نام مولانا حسین ہے! ارے کمبخت بڈھے، یہ تو سفید جھوٹ ہے!" وہ اتنی زور سے گرجا کہ ملک الشعراء اچانک گھٹنوں کے بل گر پڑا۔
" توکل اور صبر کا بیان بے عمل واعظ وناصح کا انجام """ حضرت اسامہ بن زید رضی اللہ عنہما کہتے ہیں کہ رسول کریم صلی اللہ علیہ وآلہ وسلم نے فرمایا۔
" ثمرین ماں کا چہرہ ہاتھوں میں لے کر اس کی اشکبار آنکھوں میں دیکھتی ہوئی اپنے جواب کا انتظار کرتی رہی مگر امی درد سے کراہتی رہی اور ہچکیاں لیتی رہی۔
" جمال احمد نے اپنی بات کی تائید کے لیے جھٹکے سے سر بیوی کی طرف موڑا مگر آسیہ کے چہرے پر کوئی شدید ردّ عمل نہ دیکھ کر سر جھکا لیا۔
" جمعہ کا بیان امام کے قریب بیٹھ کر خطبہ سنو """ اور حضرت سمرۃ بن جندب رضی اللہ تعالی عنہ راوی ہیں کہ رسول اللہ صلی اللہ علیہ وسلم نے فرمایا۔
" جنازوں کا بیان عیادت کب کی جائے "حضرت انس رضی اللہ عنہ فرماتے ہیں کہ نبی کریم صلی اللہ علیہ وآلہ وسلم تین دن کے بعد مریض کی عیادت کرتے تھے۔
" جہاد کا بیان جہاد میں مؤمن کا بہنے والا قطرہ خون خدا کے نزدیک محبوب ترین چیزہے " اور حضرت امامہ نبی کریم صلی اللہ علیہ وسلم سے نقل کرتے ہیں۔
" حرم مدینہ کا بیان حرمین میں سکونت پذیر ہونے کی سعادت " اور خطاب کے خاندان کا ایک شخص ناقل ہے کہ نبی کریم صلی اللہ علیہ وآلہ وسلم نے فرمایا۔
" حرم مکہ کی حرمت کا بیان مکہ مکرمہ کی فضیلت حضرت عیاش ابن ابی ربیعہ مخزومی رضی اللہ عنہ کہتے ہیں کہ رسول کریم صلی اللہ علیہ وآلہ وسلم نے فرمایا۔
" حسین: (سینے پر ادب سے ہاتھ رکھ کے ) بتر، مگر اتنا خیال رہے کہ اس بارے میں جو کچھ دریافت فرمانا ہو، شاہ‌زادی اسی طرح‌تنہائی میں بلا کے دریافت فرمائیں۔
" حضرت ابن عباس رضی اللہ عنہ کہتے ہیں کہ نبی کریم صلی اللہ علیہ وسلم اپنی لبوں کو کترتے لیتے تھے، اور حضرت ابراہیم علیہ السلام جو خدا کے دوست تھے۔
" حضرت عثمان کے مناقب کا بیان باغیوں سے جراتمندانہ خطاب " اور حضرت ثمامہ ابن حزن قشیری بیان کرتے ہیں کہ میں اس وقت حضرت عثمان کے مکان پر موجود تھا۔
" حضرت عمر کے مناقب وفضائل کا بیان نیک کاموں میں سب سے زیادہ سر گرم کار " اور حضرت اسلم (جو حضرت عمر فاروق کے آزاد کردہ غلام اور تابعی ہیں۔
" حضرت قیس ابن سعد کہتے ہیں کہ میں کوفہ کے قریب ایک شہر حیرہ پہنچا تو میں نے وہاں کے لوگوں کو دیکھا کہ وہ اپنے سردار کو سجدہ کرتے ہیں۔
" حوض اور شفاعت کا بیان آنحضرت صلی اللہ علیہ وسلم کی شفاعت """ اور حضرت انس رضی اللہ تعالی عنہ کہتے ہیں کہ رسول کریم صلی اللہ علیہ وسلم نے فرمایا۔
" حوض اور شفاعت کا بیان شفاعت سے تمام انبیاء کا انکار """ اور حضرت انس رضی اللہ تعالی عنہ سے روایت ہے کہ نبی کریم صلی اللہ علیہ وسلم نے فرمایا۔
" خود تو کوئی کام دھندا نہیں کرتے، دن بھر گھر میں بیٹھے رہتے ہو، ہم گھر چلانے کے لئے کوئی چھوٹا موٹا دھندہ کرتے ہیں تو ہمارے پیچھے پڑ جاتے ہو۔
" دیکھۓ شمس الرحمن فاروقی کا مضمون "رشید احمد صدیقی کا نثری آہنگ"، مشمولہ "رشید احمد صدیقی: آثار و اقدار" (علی گڑھ، شعبۂ اردو، علی گڑھ مسلم یونیورسٹی، ۱۹۸۴)، مرتّبہ اصغر عبّاس۔
" ذکراللہ اور تقرب الی اللہ کا بیان ذکراللہ شیطان سے دل کا محافظ حضرت ابن عباس رضی اللہ عنہ راوی ہیں کہ رسول اللہ صلی اللہ علیہ وآلہ وسلم نے فرمایا۔
