 دل نے کمزوری دکھا دی۔
ایسی صورتحال یہاں نہیں ہے۔
ایسی نزاکتیں ہمیں کون سمجھائے؟
ایشین ٹائیگر ایک محاورہ ہے۔
ایک امر واقعہ کا بیان؟
ایک اور بھی مسئلہ ہے۔
ایک بات البتہ ثابت ہے۔
ایک بات البتہ واضح ہے۔
ایک بات اور درکار ہے۔
ایک بات تو واضح ہے۔
ایک بات قابل غور ہے۔
ایک بار پھر دھراتے ہیں۔
ایک پرنسٹن کا پروفیسر تھا۔
ایک پہلو اور بھی ہے۔
ایک حیران کن فیصلہ ہوا۔
ایک دوسرا راستہ بھی ہے۔
ایک رجسٹر بھی رکھا تھا۔
ایک سبب تاریخی بھی ہے۔
ایک سطح مشاہدے کی ہے۔
ایک سوال اور بھی ہے۔
ایک سوال پوچھنا بنتا ہے۔
ایک سوال میرے ہمراہ تھا۔
ایک طرف وہ لوگ تھے۔
ایک عالم یا ایک حکمران؟
ایک فرق واضح ہونا چاہیے۔
ایک قانون کی حکمرانی ہے۔
ایک لفظ بولا جاتا ہے۔
ایک مثال عرض کرتا ہوں۔
ایک مردے سے کیسا خوف؟
ایک مسلک کے علماء ہوں۔
ایک نارمل ملک لگتا تھا۔
ایک نقطہ نظر وہ ہے۔
ایک نکتہ ہی لے لیجیے۔
ایک ہندوستان اور دوسرا ہمارا ملک۔
ایک واقعہ اور سناتا چلوں۔
ایک وکٹ یا ایک چوکا؟
ایم کیو ایم کیوں بنی؟
آ دمی ہنسے کہ روئے؟
آپ پہ کوئی پابندی نہیں۔
آپ کچھ اور بات کر رہے ہیں۔
آپ کی باتیں سنی ہیں۔
آپ کی حرکات مشکوک ہوں۔
آپ یہ خواہش رکھتے ہیں۔
آپس ہی میں مقابلہ ہے۔
آج بھی ایسا ہی ہے۔
آج بھی رات ڈھلتی ہے۔
آج صورتحال یکسر مختلف ہے۔
آج فیصلہ ہو جائے گا۔
آج کل بھی دستیاب ہے۔
آج کل کے تماشے دیکھیے۔
آج کیمسٹ ہڑتال پر ہیں۔
آج مسائل کا انبار ہے۔
آج مسلمان ممالک میں بادشاہت ہے۔
آج ہر طرف اضطراب ہے۔
آج ہفتے کا دن ہے۔
آج ہم وہیں کھڑے ہیں۔
آج ہمارے موضوعات دوسرے ہیں۔
آخر ایسا کیوں ہو تا ہے؟
آخر صحافت کے استاد ہیں۔
آخر یہ ماجرا کیا ہے؟
آخری ایکٹ چل رہا ہے۔
آداب کا تقاضا کیا ہے؟
آدمی کے پاس پیسے ہوں۔
آزادی رائے پر پابندی تھی۔
آسانیاں بھی اور آسودگی بھی۔
آشیانے کی بات کرتے ہو؟
آغاز کہاں سے ہو گا؟
آفاقیت شریعت کا وصف ہے۔
آگے آگے دیکھیے ہوتا ہے کیا۔
آگے سوچنے کی صلاحیت نہیں۔
آگے فیصلے کیا ہونے ہیں۔
آگے کہیں جا نہیں سکتے۔
آگے کی طرف دیکھنا چاہیے۔
آمد و رفت میں اضافہ ہونا چاہیے۔
آنکھوں سے آنسو رواں ہیں۔
آنکھیں چندھیا جا تی ہیں۔
آئین سے یا ماورائے آئین؟
آئین موجودہے اور جمہوریت قائم ہے۔
باآسانی جھٹلائے نہیں جا سکتے۔
بات البتہ کچھ اور ہے۔
بات کلچر اور خمیر کی ہے۔
بات یہاں تک پہنچنی تھی۔
باتیں بظاہر معمولی سی ہیں۔
بادشاہ گری بھی سیاست ہے۔
بادل تب ہی چھٹیں گے۔
بارڈر اتنے سخت نہ تھے۔
باقاعدہ سماعت شروع ہونے لگی۔
باقی بھی گزر جائے گی۔
باقی بھی مسلمان ممالک ہیں۔
باقی چیزیں کیوں نہیں ہوتیں؟
باقی دنوں میں کیوں نہیں؟
باقی سب باتیں ضمنی ہیں۔
باقی سب جزوی کہانیاں ہیں۔
باقی سب کتابی باتیں ہیں۔
باقی سب نئے لوگ تھے۔
باقی فضول کی باتیں ہیں۔
باقی گزارہ ریڈیو پہ تھا۔
باقی لوگ آخر کہاں جائیں؟
بالکل بے بس کھڑی تھی۔
بائیبل کا اسلوب یہی ہے۔
بچوں کو سکول کیوں بھیجا؟
بڑے زورکی بھوک لگی تھی۔
بڑے فیصلے وہیں ہوتے ہیں۔
بڑی بات جو ہوئی ہے۔
بس شام ٹھیک گزر جائے۔
بصورت دیگر یہی ہو گا۔
بظاہر تو وہ ساتھی تھا۔
بقا کا یہی راستہ ہے۔
بگاڑ کو ٹھیک کرنا ہے۔
بگاڑ یکدم پیدا نہیں ہوا۔
بلاشبہ یہ ایک بہتان ہے۔
بلاول بھٹو بھی متحرک ہیں۔
بلکہ اس کا مظہر ہوں۔
بلکہ فروغ دیا جاتا ہے۔
بلکہ ملک دشمن بھی ہیں۔
بلکہ ہماری ذمہ داری بھی۔
بلند پائے کے مقرر تھے۔
بلوچستان کے اپنے حالات ہیں۔
بندوبست ان کا مکمل تھا۔
بنگلہ دیش کا رقبہ کم ہے۔
بہت پہلے ہو جانا چاہیے۔
بہت چیزیں بدل چکی ہوں۔
بہت کچھ کرنے کو ہے۔
بہتوں کے مزاج درست ہوئے۔
بہرحال دیر آید درست آید۔
بہرحال کتنا رونا رویا جائے۔
بہرحال ہمارے گاؤں نزدیک ہیں۔
بہرحال یہ الگ کہانی ہے۔
بہرحال یہ ضمنی ایشوز ہیں۔
بہرحال یہ ضمنی بحث ہے۔
بھارت اس کے علاوہ ہے۔
بھارت امریکہ کا کھلاڑی ہے۔
بھارت کو یہ معلوم تھا۔
بھارت کو یہ معلوم ہے۔
بھاری فیس تو لیتے ہو۔
بولنے کا البتہ شوق ہے۔
بولنے میں ٹھہراؤ بھی آچکاہے۔
بوندیں مسلسل گر رہی ہیں۔
بے چینی مو جود ہے۔
بے حسی کی انتہا ہے۔
بے داغ سبزے کی بہار
بیان کردہ واقعات غلط ہیں۔
بینکوں سے قرضے لیتے رہے۔
پارٹیوں اور لیڈروں کا حال۔
پارلیمانی روایات سے واقف ہیں۔
پارلیمنٹ غیر موثر ہو گی۔
پاکستان اسے مانتا نہیں تھا۔
پاکستان ایک تاریخی واقعہ ہے۔
پاکستان چین کا دوست ہے۔
پاکستان کو آگے بڑھنا ہے۔
پاکستان کو مضبوط کرنا ہے۔
پاکستان کے حکمران کرپٹ ہیں۔
پاکستان کے مسائل گمبھیر ہیں۔
پاکستان کی یا کسی اور کی؟
پاکستان کیا کر سکتا تھا؟
پاکستان میں سماجی آزادی ہے۔
پاکستان میں ہر چیز دستیاب تھی۔
پاکستان نے انتخاب کرنا ہے۔
پاناما کیس بعد میں ابھرا۔
پبلک مقامات غیر محفوظ ہیں۔
پچھلے ہفتے ڈرائیور بیمار تھا۔
پر ایسی باتیں کون سمجھے؟
پر بات بن نہیں رہی۔
پر عمل ذرا ہٹ کے ہے۔
پرانا سا ایک مکان تھا۔
پردہ اٹھنے کی منتظر ہے۔
پرندے اڑنے لگتے ہیں۔
پرنسپل صاحب سے رجوع کیجئے۔
پرنسپل کا بھی کمال دیکھیے۔
پرویز رشید بھی لگتا ہے۔
پرویز مشرف جلد باز تھے۔
پڑھیے کیا اور سنیے کیا؟
پنجاب میں ایسی صورتحال نہیں۔
پنجاب میں داخل ہوتے ہیں۔
پنجاب میں صورتحال مختلف تھی۔
پنجابیوں کے کمالات بہت ہیں۔
پہلا چیلنج کیمونزم کا تھا۔
پہلا قدم تو اٹھانا ہے۔
پہلا نکتہ وضاحت طلب ہے۔
پہلے جنون چڑ ھا تھا۔
پہلے فائر ہوئے اور پھر دھماکہ ہوگیا۔
پہلی شرط ذہنی آزادی ہے۔
پھر اس کے بعد احتجاج؟
پھر اسی طرح فیصلے ہوں۔
پھر انہیں ایک ترکیب سوجھی۔
پھر انہیں ضمانت مل گئی۔
پھر بھی کپتان ناکام ہے۔
پھر جانا ہی پڑے گا۔
پھر جب کھانا لگتا ہے۔
پھر دوسری بات ہے۔
پھر سوال اٹھیں گے۔
پھر فکر کس بات کی۔
پھر گزر ہو جاتی ہے۔
پھر وارث کون ہے؟
پھر وہ خود وقت ہے۔
پھر یہ پارلیمان کیوں ہے؟
پھر یہ کون ہیں؟
پھر یہ ماجرا کیا ہے؟
پھر یہ ملک جمہوریہ ہے۔
پھر یہ ہیجان کیوں ہے؟
پوپ امن کے داعی ہیں۔
پورے ملک میں پیٹا گیا۔
پولیس پہ بھی رونا ہے۔
پولیس کی دوڑیں لگ گئیں۔
پیپلز پارٹی سندھ تک محدود ہے۔
پیغمبر تو داعی ہوتے ہیں۔
تاجر مشکلات کا شکار ہوں۔
تاریخ کا عجیب موڑ ہے۔
تاکہ اس میں چمک آئے۔
تاہم یہ وقت اور ہے۔
تاویل بدل جاتی ہے۔
تب خاصے بھاری ہو چکے تھے۔
تب میڈیا تو نہیں تھا۔
تب ہم تھانے سے گئے۔
تبلیغی جماعت کے ساتھ ہیں۔
تحریری آئین کیوں ضروری ہے؟
ترجیح یہی ہوتی ہے۔
ترقی پسند سوچ ہماری ہونی چاہیے۔
ترکی بھی مسلمان ملک ہے۔
تزکیۂ نفس آج کیا ہے؟
تشویش ناک بات یہ ہے۔
تصادم بڑھ جا ئے گا۔
تصوف پر گفتگو ہوتی رہتی ہے۔
تعصب اسی کا نام ہے۔
تمام چیزوں پہ پابندیاں ہیں۔
تمام قوانین انگریزوں نے لکھے۔
تنخواہ کا کوئی نظام ہے۔
تنقید اس پر ہونی چاہیے۔
تہذیب بھی کبھی مرتی ہے؟
تھانہ کلچر کیسے بدلے گا؟
تھوڑا مال اکٹھا کیا ہے۔
تیسرا سبب علاقائی مفادات ہیں۔
تیسرا نظریہ "سیاسی اسلام" ہے۔
تین باتیں توجہ طلب ہیں۔
تین بار وزیر اعظم رہے۔
تین برس تو ہوگئے ہوں۔
ٹرپل ون بریگیڈ حرکت میں نہیں آئی۔
ٹریفک کا نظام بہتر ہو۔
ٹریفک کیوں رکی ہوئی ہے؟
ٹریفک معطل ہو جاتی ہے۔
ثالثی کی حقیقت کیا تھی؟
ثریا گوجرانوالہ میں پیدا ہوئیں۔
جانشین تو مریم صفدر تھیں۔
جب پورا دورانیہ ملے گا۔
جب تاج اچھالے جائیں گے۔
جب ترجیحات درست نہ ہوں۔
جب تک وہ رہتے ہیں۔
جب تک یہ باقی ہیں۔
جب تھوڑے موڈ میں ہوں۔
جب تھیسس نہیں رہے گا۔
جب ٹھیک ہو جائیں گے۔
جب جمہوریت واپس آئے گی۔
جب ذہن بن جاتا ہے۔
جب روایت بن جاتی ہے۔
جب سے دنیا بنی ہے۔
جب عدالت سزا سناتی ہے۔
جب عرب شہزادے کام آئے۔
جب قومی اسمبلی میں تھا۔
جب کمیشن بن جائے گا۔
جب مضبوط لوگ سامنے آئیں۔
جب میں آکسفورڈ میں تھا۔
جب میں سیاست میں تھا۔
جب نیلو کا عروج تھا۔
جب ہارون الرشید خلیفہ تھے۔
جب وہ بول رہے تھے۔
جب وہ تقریر فرماتے تھے۔
جب وہ قاضی القضاۃ تھی۔
جب وہ گورنر سندھ تھے۔
جب یہ عمل جاری ہے۔
جب یہ مستحکم ہوتی ہے۔
جب یہ مصیبت ٹلے گی۔
جب یہ معروضی صورتحال ہے۔
جب یہ مکمل ہو گا۔
جب یہ ہوجا تا ہے۔
جبھی پسر وارث تیرا ہے۔
جتنا کہ کوئی اور مذہب۔
جس حد تک ممکن تھا۔
جس قسم کے سامعین ہوں۔
جس کا مطلب یہ ہے۔
جسٹس صاحب جانیں یا پنجاب حکومت۔
جمہوریت خود ایک انقلاب ہے۔
جمہوریت صرف گڈ گورننس نہیں ہے۔
جمہوریت کا واویلا کافی نہیں۔
جمہوریت کی روح یہی ہے۔
جمہوریت یہی رویہ سکھاتی ہے۔
جن کا ایسا بندوبست ہے۔
جن کی چھٹی ہونی تھی۔
جن کی لگی ہوئی ہے۔
جناب کا میدان کرکٹ ہے۔
جنرل ضیاء الحق آ گئے۔
جنرل ضیاء الحق ہوتے ہیں۔
جنگ کی اپنی حرکیات ہیں۔
جنگ میں وہ کامیاب نہیں۔
جنہوں نے ٹیکس دیا ہے۔
جنہیں ہم ادارے کہتے ہیں۔
جنہیں ہم کمی کہتے ہیں۔
جنون بہت اعلی قدر ہے۔
جہاں ایسے مسائل درپیش ہوں۔
جہاں پہ جلسہ منعقد ہوا۔
جہاں تک اپنا تعلق ہے۔
جہاں جبر ہو تا ہے۔
جہاں زمین کی قلت ہے۔
جہاں زندگی کا سامان میسر ہے۔
جہاں قدم رکھنا ممنوع ہے۔
جہاں کہیں آزادی ہوتی ہے۔
جہاں وہ خود کفیل ہیں۔
جو اکثر یاد آتے ہیں۔
جو بھی قانونی ڈھانچہ تھا۔
جو چاہے کر سکتے تھے۔
جو چند جاننے والے تھے۔
جو چیزیں مصر میں ہوئیں۔
جو ڈھنڈورچی قریب تر تھے۔
جو روایتی سوشلسٹ پارٹیاں تھیں۔
جو کچھ کر رہے ہیں۔
جو کچھ ہوتا تھا ، سامنے ہوتا تھا۔
جو کرسی پہ ہوتا ہے۔
جو کسر رہ گئی تھی۔
جو مجھے محترم بناتا ہے۔
جو مزید بحث کا متقاضی ہے۔
جواب ملا: میں جاوید ہوں۔
جوان کی طرف داری کریں۔
جوانی کی دہلیز پہ تھے۔
جوکہ سراسر غلط بیانی ہے۔
جوگہرے غور و فکر کا متقاضی ہے۔
جوں جوں وقت گزرے گا۔
جیبیں بھی بھاری ہونی چاہئیں۔
جیسا کہ اکثر ہوتا ہے۔
جیسا کہ چینی دوستوں نے کہا۔
جیسا کہ ہم جانتے ہیں۔
جیسے 1977ء میں ہوا تھا۔
جیسے اب ہو رہے ہیں۔
جیسے اوپر ذکر کیا ہے۔
